Rank,NCT Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
81,NCT00065260,Rabbit Antithymocyte Globulin Versus Campath-1H for Treating Severe Aplastic Anemia,Completed,Has Results,Aplastic Anemia,Drug: Campath-1H|Drug: r-ATG|Drug: CsA,"National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)",All,"2 Years and older Â  (Child, Adult, Senior)",Phase 2,54,NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,030249|03-H-0249,18-Jul-03,7/1/03,3/1/15,3-Feb-16,Feb-16,3-Feb-16,null,Dec-14,"No Longer Meeting Criteria for Severe Aplastic Anemia.|Secondary Endpoints Will Include: Relapse; Clonal Evolution to Myelodysplastic Syndrome (MDS), Paroxysmal Nocturnal Hemoglobinuria (PNH) or Acute Leukemia",https://ClinicalTrials.gov/show/NCT00065260
257,NCT01436305,Optimization of NULOJIXÂ® Usage As A Means of Avoiding CNI and Steroids in Renal Transplantation,Terminated,No Results Available,Kidney Transplantation|Renal Transplantation,Drug: Alemtuzumab|Drug: MMF|Biological: Basiliximab|Drug: Short-term Tac|Drug: tacrolimus|Biological: Belatacept|Drug: methylprednisolone,National Institute of Allergy and Infectious Diseases (NIAID)|Clinical Trials in Organ Transplantation,All,18 Years to 65 Years Â  (Adult),Phase 2,19,NIH|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,DAIT CTOT-10,13-Sep-11,9/1/11,4/1/15,20-Apr-16,Apr-16,No Study Results Posted,null,Apr-15,The incidence of all adverse events (AEs) and serious adverse events (SAEs),https://ClinicalTrials.gov/show/NCT01436305
91,NCT00453427,Alemtuzumab and CHOP Chemotherapy for Aggressive Histological Peripheral T-Cell Lymphomas,Completed,No Results Available,Peripheral T-cell Lymphomas,Drug: Alemtuzumab (Campath-1H),"Ontario Clinical Oncology Group (OCOG)|Sunnybrook Health Sciences Centre|Genzyme, a Sanofi Company",All,"18 Years and older Â  (Adult, Senior)",Phase 1|Phase 2,20,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CTA-Control-103662,27-Mar-07,9/1/06,5/1/15,1-Jun-15,Jun-15,No Study Results Posted,ACCAPELA,Jun-13,toxicity|efficacy|tumour response|pharmacokinetic analysis|immunological monitoring,https://ClinicalTrials.gov/show/NCT00453427
136,NCT00951457,Bendamustine Combined With Alemtuzumab in Pretreated Chronic Lymphocytic Leukemia (CLL),Unknown status,No Results Available,"Leukemia, Lymphocytic, Chronic, B-Cell",Drug: Bendamustine,Arbeitsgemeinschaft medikamentoese Tumortherapie|Mundipharma Pte Ltd.,All,"18 Years and older Â  (Adult, Senior)",Phase 1|Phase 2,25,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,AGMT CLL-6 BendAlem,3-Aug-09,3/1/09,6/1/15,6-Mar-15,Mar-15,No Study Results Posted,null,Jun-15,"To determine the percentage of patients achieving a response, defined as the percentage of patients achieving complete response, partial response and stable disease/ no change upon treatment with the combination therapy|To evaluate the efficacy of a bendamustine/ alemtuzumab combination therapy in terms of complete response rates|To evaluate the achievable cumulative doses of bendamustine and alemtuzumab in terms of maximum tolerated doses while on treatment|To determine response rates in all phases by 4-colour flow cytometric MRD analysis|To identify and characterize potential risk factors via FISH cytogenetics, CD38/ Zap-70 expression and mutational status|To define clonal evolution by use of longitudinal FISH cytogenetics|To define T cell subsets including prognostic EM T cells and Treg cells|To document change upon quality of life by use of a standardized QoL questionnaire",https://ClinicalTrials.gov/show/NCT00951457
301,NCT01521689,Tolerance and Efficacy of Subcutanous Low Doses Rituximab for CLL Consolidation Treatment,Unknown status,No Results Available,Chronic Lymphocytic Leukemia,Drug: Rituximab,Institut Paoli-Calmettes,All,"18 Years and older Â  (Adult, Senior)",Phase 2,35,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,LLCR lowdoz / IPC 2009-004,22-Dec-11,12/1/11,6/1/15,19-Mar-15,Mar-15,No Study Results Posted,LLCRlowdoz,Jun-15,Residual disease|overall survival|Adverse events|-Quality of life|Immune functions|- Progression free survival|treatment free survival,https://ClinicalTrials.gov/show/NCT01521689
177,NCT00849745,Nonmyeloablative Allo Stem Cell Transplant for Severe Autoimmune Diseases,Terminated,No Results Available,Systemic Lupus Erythematosus|Systemic Sclerosis,Procedure: Nonmyeloablative allogeneic stem cell transplant,Duke University,All,"18 Years to 69 Years Â  (Adult, Senior)",Phase 1,4,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,Pro00010324,22-Feb-09,1/1/03,7/1/15,21-Jun-16,Jun-16,No Study Results Posted,null,Jul-15,Engraftment|Graft versus Host Disease|Toxicity|Mortality|Response Rate|Immune Function Post-engraftment|Progression Free Survival|Overall Survival,https://ClinicalTrials.gov/show/NCT00849745
275,NCT00278590,Allogeneic Stem Cell Transplantation in Systemic Lupus Erythematosus,Withdrawn,No Results Available,Systemic Lupus Erythematosus,Biological: Allogeneic Stem Cell Transplantation,Northwestern University,All,18 Years to 50 Years Â  (Adult),Phase 1,0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,DI SLE.Allo2004,16-Jan-06,7/1/04,7/1/15,12-Jan-17,Jan-17,No Study Results Posted,null,Jul-15,"Survival, disease free survival, number of relapses, organ function",https://ClinicalTrials.gov/show/NCT00278590
239,NCT00775931,Allogeneic Transplantation For Severe Osteopetrosis,Unknown status,No Results Available,Severe Osteopetrosis,Procedure: umbilical cord blood transplantation|Drug: Campath-1H|Radiation: Total Lymphoid Irradiation|Drug: Cyclophosphamide|Drug: Busulfan|Drug: Fludarabine monophosphate|Procedure: marrow graft transplantation,"Masonic Cancer Center, University of Minnesota",All,"up to 45 Years Â  (Child, Adult)",Phase 2|Phase 3,23,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,MT2008-20|0808M42261,16-Oct-08,8/1/08,10/1/15,22-Apr-15,Apr-15,No Study Results Posted,null,Oct-15,Estimate the rate of donor engraftment for patients treated by hematopoietic stem cell transplantation|Estimate Peri-transplant mortality (deaths)|Transplant related toxicity|Graft-versus-host disease (incidence and severity)|Tolerance of Campath-1H administration|Clinical Disease Monitoring,https://ClinicalTrials.gov/show/NCT00775931
114,NCT00935792,Everolimus and Alemtuzumab in Treating Patients With Recurrent Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,Completed,Has Results,Lymphocytic Leukemia,Drug: alemtuzumab|Drug: everolimus,Mayo Clinic,All,"18 Years to 120 Years Â  (Adult, Senior)",Phase 1|Phase 2,28,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,MC088C|NCI-2009-00935|08-008775,6-Jul-09,7/1/09,12/1/15,19-Oct-16,Jan-16,29-Apr-16,null,Dec-15,Clinical Response (Complete or Partial Remission)|Number of Participants With Dose-Limiting Toxicities|Test the Safety and Tolerability of the Combination of Everolimus and Alemtuzumab.|Survival Time|Progression-free Survival|Duration of Response|Time to Subsequent Therapy,https://ClinicalTrials.gov/show/NCT00935792
154,NCT00997386,Reduced Intensity Allogeneic PBSCT to Treat Hematologic Malignancies and Hematopoietic Failure States,Completed,No Results Available,"Hematologic Neoplasms|Multiple Myeloma|Anemia, Aplastic|Hemoglobinuria, Paroxysmal|Myelofibrosis","Drug: busulfan, and melphalan, and alemtuzumab",University of Arizona,All,"18 Years to 75 Years Â  (Adult, Senior)",Phase 2,16,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,09-0679-04,15-Oct-09,9/1/09,1/1/16,30-Mar-16,Dec-15,No Study Results Posted,ALBUM,Apr-14,"The primary efficacy endpoint is the presence of donor lymphohematopoietic chimerism (defined as at least 50% donor cells in the peripheral blood) in peripheral blood by day +100 (i.e., 100 days after allogeneic PBSCT).|Analyses of relapse-free survival, event-free survival and overall survival will be performed",https://ClinicalTrials.gov/show/NCT00997386
211,NCT00618969,Peripheral Blood Stem Cell Transplantation (PBSCT)From Haploidentical Related Donors,Completed,No Results Available,"Hematologic Neoplasms|Anemia, Aplastic|Hemoglobinuria, Paroxysmal|Multiple Myeloma",Other: haploidentical allogeneic PBSC transp,University of Arizona,All,"18 Years to 75 Years Â  (Adult, Senior)",Phase 2,2,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,BIO 07-122,8-Feb-08,2/1/08,2/1/16,1-Mar-16,Mar-16,No Study Results Posted,null,Dec-13,"The primary efficacy endpoint is the presence of donor lymphohematopoietic chimerism (defined as at least 50% donor cells in the peripheral blood)in peripheral blood by day +100.|To determine the safety of haploidentical related allogeneic PBSCT using a preparative regimen of busulfan, melphalan and alemtuzumab.",https://ClinicalTrials.gov/show/NCT00618969
86,NCT00930553,An Extension Protocol for Multiple Sclerosis Patients Who Participated in Genzyme-Sponsored Studies of Alemtuzumab,Completed,No Results Available,"Multiple Sclerosis, Relapsing-Remitting",Biological: alemtuzumab|Biological: alemtuzumab,"Genzyme, a Sanofi Company|Bayer|Sanofi",All,"Child, Adult, Senior",Phase 3,1322,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Outcomes Assessor)|Primary Purpose: Treatment,CAMMS03409|2009-010788-18|LTE12824,26-Jun-09,8/1/09,2/1/16,11-Mar-16,Mar-16,No Study Results Posted,null,Feb-16,"Time to Sustained Accumulation of Disability (SAD)|Relapse Rate|Time to sustained reduction in disability (SRD) as measured by the EDSS (Expanded Disability Status Scale)|Change over time in EDSS scores|Change over time in MRI findings|Change over time in self-reported quality of life as assessed by the Medical Outcome Study SF-36 Version 2, FAMS (Functional Assessment of Multiple Sclerosis), and EQ-5D findings",https://ClinicalTrials.gov/show/NCT00930553
281,NCT01459211,Pilot Study to Establish Safety & Efficacy of a Combination of Dexamethasone and Lenalidomide in Patients With Relapsed or Refractory Chronic Lymphocytic Leukaemia (CLL),Completed,No Results Available,Chronic Lymphocytic Leukemia,Drug: Lenalidomide & Dexamethasone,"University College, London",All,"18 Years and older Â  (Adult, Senior)",Phase 2,12,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,UCL/09/387,18-Oct-11,5/1/12,2/1/16,7-Nov-16,Nov-16,No Study Results Posted,LenD,Feb-16,Proportion of patients who achieve objective response (CR + PR) according to the updated 1996 NCIWG criteria measured at 4 weeks after the completion of chemotherapy|Duration of response|Time to next treatment,https://ClinicalTrials.gov/show/NCT01459211
299,NCT01652911,A Phase I/II Study of the Safety and Efficacy of Sernova's Cell PouchTM for Therapeutic Islet Transplantation,Terminated,No Results Available,Type I Diabetes,Device: Sernova Cell Pouch,University of Alberta|Sernova Corp,All,"18 Years to 68 Years Â  (Adult, Senior)",Phase 1|Phase 2,3,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,Pro00028097,12-Jul-12,6/1/12,3/1/16,6-Jul-16,Jul-16,No Study Results Posted,null,Mar-16,To assess the safety of the Sernova Cell Pouchâ„¢ in adult participants with Type-1 diabetes receiving islet transplantation for the first time.|To determine the proportion of subjects implanted with the Cell Pouchâ„¢ and transplanted with islets into the Cell Pouchâ„¢ who achieve insulin independence after islet transplantation.|To obtain preliminary data on the efficacy of the Cell Pouchâ„¢.,https://ClinicalTrials.gov/show/NCT01652911
115,NCT02205489,Management Of The Infusion-Associated Reactions In RRMS Patients Treated With LEMTRADA,Completed,No Results Available,Relapsing-remitting Multiple Sclerosis,Drug: Alemtuzumab GZ402673|Drug: cetirizine|Drug: ranitidine|Drug: methylprednisolone|Drug: methylprednisolone|Drug: aciclovir|Drug: esomeprazole|Drug: ibuprofen|Drug: paracetamol,"Genzyme, a Sanofi Company|Sanofi",All,"18 Years and older Â  (Adult, Senior)",Phase 4,58,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,LPS13650|2014-000092-62|U1111-1153-3922,29-Jul-14,10/1/14,4/1/16,8-Jun-16,Jun-16,No Study Results Posted,EMERALD,Apr-16,Proportion of IARs that are graded mild according to the Common Toxicity Criteria (CTC). An IAR is any adverse event occurring during or within 24 hours of LEMTRADA infusion.|Proportion of IARs|Proportion and type of serious IARs|Proportion by type (as defined by clinical symptoms),https://ClinicalTrials.gov/show/NCT02205489
243,NCT00578292,"Allogeneic Stem Cell Transplantation, Severe Homzygous 0/+Thalassemia or Sever Variants of Beta 0/+ Thalassemia, THALLO",Terminated,No Results Available,Thalassemia,Drug: Busulfan|Drug: Fludarabine|Drug: Campath 1H|Drug: Cyclophosphamide|Drug: MESNA,Baylor College of Medicine|Texas Children's Hospital,All,"up to 64 Years Â  (Child, Adult)",,10,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,H-14539-THALLO|THALLO,19-Dec-07,2/1/04,5/1/16,20-Jul-16,Jul-16,No Study Results Posted,THALLO,May-16,"Evaluate engraftment.|To evaluate the occurrence of transient and stable mixed hematopoietic chimerism (HC) after unrelated donor SCT, and its effect on the recurrence of clinically measurable thalassemia.|To measure hematopoietic and immune reconstitution, and assess the effects on infectious complications.|Toxicities.|Loss of chimerism.|GVHD|Morbidity and mortality post-transplant.",https://ClinicalTrials.gov/show/NCT00578292
9,NCT01346397,Study Cyclosporine (CsA) Versus Tacrolimus (Tacro) After Campath Induction in Kidney Transplantation,Completed,Has Results,Acute Graft Rejection|Chronic Allograft Nephropathy|Polyomavirus-related Transplant Nephropathy,Drug: cyclosporine or tacrolimus,Russian Academy of Medical Sciences|Russian Scientific Center of Surgery,All,"6 Months to 60 Years Â  (Child, Adult)",,170,Other,Observational,Observational Model: Case Control|Time Perspective: Prospective,RSCS-Campath-06,7-Jul-10,4/1/09,5/1/16,4-Oct-16,Oct-16,4-Oct-16,RSCS-Campath,May-13,Patient Survival|Graft Survival,https://ClinicalTrials.gov/show/NCT01346397
203,NCT00260689,Three Immunosuppressive Treatment Regimens for Severe Aplastic Anemia,Completed,No Results Available,Immunosuppresion|Thrombocytopenia|Pancytopenia|Neutropenia,Biological: Anti-thymocyte globulin (rabbit)|Biological: Anti-thymocyte globulin (horse)|Drug: Cyclosporine,"National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)",All,"2 Years and older Â  (Child, Adult, Senior)",Phase 2,136,NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment,060034|06-H-0034,1-Dec-05,11/28/05,5/4/16,24-Jan-17,15-Aug-16,No Study Results Posted,null,4-May-16,Hematologic response,https://ClinicalTrials.gov/show/NCT00260689
230,NCT00176852,Stem Cell Transplant for Hemoglobinopathy,"Active, not recruiting",No Results Available,Sickle Cell Disease|Thalassemia|Severe Congenital Neutropenia|Diamond-Blackfan Anemia|Shwachman-Diamond Syndrome,"Drug: Busulfan, Fludarabine, ATG, TLI|Drug: Busulfan, Cyclophosphamide, ATG, GCSF|Drug: Campath, Fludarabine, Cyclophosphamide|Radiation: Total Body Irradiation|Procedure: Stem cell infusion","Masonic Cancer Center, University of Minnesota|National Marrow Donor Program",All,"up to 50 Years Â  (Child, Adult)",Phase 2|Phase 3,30,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,MT2002-07|0206M26241,12-Sep-05,6/1/02,6/1/16,23-Feb-16,Feb-16,No Study Results Posted,null,Mar-14,"Grade 3-5 Regimen Related Toxicity|Determine the incidence of chimerism at 100 days, 6 months and 1 year.|Determine the incidence of grade 2-4 and 3-4 acute GVHD at 100 days.|Determine the incidence of chronic GVHD at 6 months and 1 year.|Compare the quality of life (QOL) at 1, 2 and 5 years with the pre-transplant assessment.|Determine overall and disease free survival at 100 days and 1 year.|Determine physical characteristics and biologic effects of mixed populations of donor and host red blood cells|Determine the concentration of Campath in the serum",https://ClinicalTrials.gov/show/NCT00176852
277,NCT00282412,Rheumatoid Arthritis:Tolerance Induction by Mixed Chimerism,Terminated,No Results Available,Rheumatoid Arthritis,Biological: Hematopoietic Stem Cell Transplantation,Northwestern University,All,18 Years to 60 Years Â  (Adult),Phase 1,4,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,DIAD RA ALLO,24-Jan-06,9/1/02,6/1/16,11-Jul-16,Jul-16,No Study Results Posted,null,Jun-16,Tender joint count;Swollen joint count; Patient's global assessment of disease;Patient's assessment of pain;Patient's assessment of physical activity; (Health Assessment Questionnaire [HAQ]); Acute phase reactant value (erythrocyte sedimentation rate).,https://ClinicalTrials.gov/show/NCT00282412
288,NCT01288053,Non-myeloablative Allogeneic Hematopoietic Stem Cell Transplantation (NST) for Patients With Refractory Crohn's Disease,Terminated,No Results Available,Crohn's Disease,Biological: Allogeneic Stem Cell Therapy,Northwestern University,All,18 Years to 45 Years Â  (Adult),Phase 1|Phase 2,9,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,DIADCDAllo2005,27-Jan-11,1/1/10,6/1/16,11-Jul-16,Jul-16,No Study Results Posted,null,Jun-16,Survival|CDAI|CSS|IBDQ|CPAQ|SF-36,https://ClinicalTrials.gov/show/NCT01288053
302,NCT01911546,Role of Everolimus in Highly Sensitized Patients,"Active, not recruiting",No Results Available,Highly-sensitized Kidney Transplant Recipients,Drug: everolimus + low-dose tacrolimus,"Joseph Kahwaji, MD, MPH|Novartis|Cedars-Sinai Medical Center",All,"18 Years and older Â  (Adult, Senior)",,20,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention,CRAD001AUS200T,4-Mar-13,6/1/13,7/1/16,8-Feb-16,Feb-16,No Study Results Posted,null,Jan-16,The number of CMV and Polyomavirus BK infections|Incidence of acute rejection and/or graft loss,https://ClinicalTrials.gov/show/NCT01911546
178,NCT00578266,Allogeneic Stem Cell Transplantation for Patients With Severe Aplastic Anemia,Completed,No Results Available,"Anemia, Aplastic","Drug: Cyclophosphamide,Campath IH and TBI",Mayo Clinic,All,"up to 60 Years Â  (Child, Adult)",Phase 1,8,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,06-006216,17-Dec-07,2/1/07,8/16/16,23-Mar-17,Mar-17,No Study Results Posted,null,16-Aug-16,"1. Engraftment at 6 months, 1 year and 2 years 2.Incidence of graft versus host disease (GVHD), as well as incidence of acute GVHD and chronic GVHD within 6 months and 2 years|Patient survival probability at 100 days, 1 year and 2 years.",https://ClinicalTrials.gov/show/NCT00578266
33,NCT00323323,CHOP and Campath-1H in Previously Untreated Aggressive T/NK-Cell Lymphomas,Completed,No Results Available,Non-Hodgkin's Lymphoma,Drug: CHOP|Drug: Alemtuzumab|Procedure: Plasma Samples,Ohio State University Comprehensive Cancer Center|Bayer,All,"18 Years and older Â  (Adult, Senior)",Phase 1,24,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,OSU-0303,8-May-06,3/1/04,10/1/16,19-Jan-17,Jan-17,No Study Results Posted,null,Aug-12,Toxicity and safety of concurrent CHOP and Alemtuzumab|Determine pharmacokinetics of Alemtuzumab|Determine immunosuppressive properties of Alemtuzumab + CHOP|Determine if Fc Receptor-gamma (FcÎ_R) polymorphism is predictive of response or toxicity with Alemtuzumab treatment.,https://ClinicalTrials.gov/show/NCT00323323
263,NCT00455312,SCT for Dyskeratosis Congenita or SAA,"Active, not recruiting",No Results Available,Dyskeratosis Congenita|Aplastic Anemia,Drug: Campath 1H|Drug: Cyclophosphamide|Drug: Fludarabine|Procedure: Total Body Irradiation|Procedure: Stem Cell Transplantation|Drug: antithymocyte globulin|Drug: Methylprednisolone,"Masonic Cancer Center, University of Minnesota",All,"up to 70 Years Â  (Child, Adult, Senior)",Phase 2|Phase 3,33,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,MT2006-06|0612M98727,30-Mar-07,8/1/07,11/1/16,21-Jan-16,Jan-16,No Study Results Posted,null,Mar-15,Neutrophil Engraftment|Incidence of Regimen Related Mortality at 100 days|Incidence of Chronic GVHD|Incidence of Late Secondary Malignancies|Incidence of grade 2-4 and 3-4 acute graft versus host disease (GVHD)|Overall Survival|Incidence of Pulmonary Complications,https://ClinicalTrials.gov/show/NCT00455312
99,NCT01392079,"Subcutaneous Alemtuzumab Combined With Oral Dexamethasone, Followed by Alemtuzumab Maintenance or Allo-SCT in CLL With 17p- or Refractory to Fludarabine","Active, not recruiting",No Results Available,Chronic Lymphocytic Leukemia,Drug: Alemtuzumab,"University of Ulm|IMSE, TU Munich (Biometry)|WiSP Wissenschaftlicher Service Pharma GmbH|German CLL Study Group",All,"18 Years and older Â  (Adult, Senior)",Phase 2,135,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,Cll2O|2007-003099-20,28-Jun-11,2/1/08,12/1/16,27-May-15,May-15,No Study Results Posted,null,Dec-14,Response rate|Progression-free-survival|Failure-free survival|Overall survival|Number of participants with Adverse Events as a measure of safety and tolerability,https://ClinicalTrials.gov/show/NCT01392079
134,NCT00646854,Alemtuzumab and CHOP in T-cell Lymphoma,Unknown status,No Results Available,"Lymphoma, T-Cell, Peripheral","Drug: CHOP14 chemotherapy (cyclophosphamide, hydroxydaunorubicin, vincristin, prednison) plus G-CSF, combined with alemtuzumab|Drug: CHOP14 chemotherapy (see specification under Arm B) plus G-CSF","Aarhus University Hospital|GCP-unit at Aarhus University Hospital, Aarhus, Denmark|University of Aarhus",All,18 Years to 60 Years Â  (Adult),Phase 3,308,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,2006-006130-17,14-Feb-08,6/1/08,12/1/16,8-Jan-15,Nov-12,No Study Results Posted,ACT-1,Apr-15,Event-free Survival|Overall survival|Overall response rate|Overall response rate related to the CD52 expression|Tumor control or time-to-progression|Safety measured as number of adverse events (AEs) and serious adverse events (SAEs)|Feasibility of successful stem cell harvest i.e. >/=2E6 CD34 positive cells,https://ClinicalTrials.gov/show/NCT00646854
304,NCT01013441,CD3/CD28 Bead Activated T-Cells Following Chemo-Immunotherapy in Patients With Chronic Lymphocytic Leukemia,"Active, not recruiting",No Results Available,Chronic Lymphocytic Leukemia,Biological: Infusion of CD3/CD28 stimulated T cells,University of Pennsylvania|M.D. Anderson Cancer Center,All,"18 Years and older Â  (Adult, Senior)",Phase 1|Phase 2,20,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,UPCC 15408,5-Nov-09,3/1/09,12/1/16,6-Sep-16,Sep-16,No Study Results Posted,null,Dec-16,"The occurrence of treatment-related adverse events or treatment related trial discontinuations, defined as NCI CTC â‰¥ grade 3 and clinical events that are possible, likely, or definitely related to study treatment at any time|The ability to complete the outlined course of therapy|The ability to harvest, expand, and reinfuse autologous T cells in this target population of patients",https://ClinicalTrials.gov/show/NCT01013441
75,NCT01757574,Alemtuzumab in Chronic Inflammatory Demyelinating Polyradiculoneuropathy (CIPD),Unknown status,No Results Available,Chronic Inflammatory Demyelinating Neuropathy,Drug: Alemtuzumab infusion,"Johns Hopkins University|Genzyme, a Sanofi Company",All,"18 Years and older Â  (Adult, Senior)",Phase 4,16,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CAMIMD01108IST,6-Dec-12,11/1/12,12/1/16,23-Dec-12,Dec-12,No Study Results Posted,null,Dec-15,Change from baseline in disability at 36 months measured by GBS/CIDP Rasch-built Overall Disability Scale (GBS/CIDP-RODS).|Change from baseline in disability measured with Overall Neuropathy Limitations Scale (ONLS) at 36 months.,https://ClinicalTrials.gov/show/NCT01757574
250,NCT00566696,Mismatched Family Member Donor Transplantation for Children and Young Adults With High Risk Hematological Malignancies,"Active, not recruiting",Has Results,"Leukemia, Acute Lymphocytic (ALL)|Leukemia, Myeloid, Acute(AML)|Leukemia, Myeloid, Chronic(CML)|Juvenile Myelomonocytic Leukemia (JMML)|Hemoglobinuria, Paroxysmal Nocturnal (PNH)|Hodgkin Lymphoma|Lymphoma, Non-Hodgkin (NHL)|Myelodysplastic Syndrome (MDS)",Device: CliniMACS|Procedure: Stem cell transplantation|Drug: Fludarabine|Drug: ThioplexÂ®|Drug: L-phenylalanine mustard|Drug: Mycophenolate mofetil|Drug: Rituxanâ„¢|Drug: Alemtuzumab|Drug: Cyclophosphamide|Drug: Anti-thymocyte globulin (Rabbit)|Drug: G-CSF|Drug: Muromonab,St. Jude Children's Research Hospital,All,"up to 21 Years Â  (Child, Adult)",Phase 2,73,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,HIFLEX|NCI-2011-03670,29-Nov-07,11/1/07,1/1/17,3-May-16,Mar-16,27-Jan-16,null,Jan-15,"Event-free Survival (EFS)|Overall Survival (OS)|Disease-Free Survival (DFS)|Incidence of Non-hematologic Regimen-related Toxicities|Incidence of Regimen-related Mortality|To Estimate the Cumulative Incidence of Relapse for Research Participants Who Receive This Study Treatment.|To Estimate the Rate of Overall Grade III-IV Acute GVHD, and the Rate and Severity of Chronic GVHD in Research Participants.",https://ClinicalTrials.gov/show/NCT00566696
208,NCT02435901,HSCT For Patients With High Risk Hemoglobinopathies Using Reduced Intensity,Recruiting,No Results Available,Sickle Cell Disease|Beta Thalassemia-Major,Drug: alemtuzumab (Campath IH)|Drug: Fludarabine|Drug: Melphalan|Drug: Cyclosporine|Drug: Mycophenolate mofetil|Drug: Tacrolimus|Biological: Hematopoietic Stem Cell Transplantation,Northwell Health,All,"1 Year to 21 Years Â  (Child, Adult)",Phase 1|Phase 2,29,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,8057,24-Apr-15,12/1/08,1/1/17,16-Aug-16,Aug-16,No Study Results Posted,null,Jan-17,Assessment of Stem Cell Engraftment|Assessment of treatment related mortality and morbidity|Event Free Survival|Immunological Reconstitution,https://ClinicalTrials.gov/show/NCT02435901
107,NCT01120028,"Campath, Calcineurin Inhibitor Reduction and Chronic Allograft Nephropathy","Active, not recruiting",No Results Available,Kidney Transplantation,Drug: Alemtuzumab|Drug: Basiliximab|Drug: Sirolimus|Drug: Tacrolimus,"University of Oxford|National Health Service, United Kingdom|Pfizer|Novartis",All,"18 Years and older Â  (Adult, Senior)",Phase 2|Phase 3,800,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Open Label|Primary Purpose: Treatment,CTSU3C1|2008-008553-27|ISRCTN88894088,6-May-10,9/1/10,2/1/17,4-Jan-17,Jan-17,No Study Results Posted,3C,Feb-14,Biopsy-proven acute rejection|Graft function|Graft survival|Serious infection|Malignancy|Major vascular event,https://ClinicalTrials.gov/show/NCT01120028
